Index of Test plan,Status (Y/N),Project,Chip,TestCase,ComPort,TestType,Ext_Parameter
,N,V3NF_AV,MCU1A,VERSION_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,SHOWFS26STATE_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,SHOWPORT_B4_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,SHOWPORT_B5_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,GETHWID_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,BOOTCHAIN_A_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,BOOTCHAIN_GET_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,GPIO_LIST_CTRL_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,GPIO_LIST_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,SHOWVOLTAGES_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,IDENTIFIER_88Q5152_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,PHY_REVISION_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,RDTEMP_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,VRS_CHIPID_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,MAX20040_EN_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,I2CSCAN_0_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,SHOWCURRENT_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,SPI_CHECK_MCU1A,,,
,N,V3NF_AV,MCU1A,SAFETY_MCU1A_TO_MCU1B_CHECK,,,
,N,V3NF_AV,MCU1A,SAFETY_MCU1B_TO_MCU1A_CHECK,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,N,V3NF_AV,MCU1B,VERSION_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,SHOWFS26STATE_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,SHOWPORT_B4_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,SHOWPORT_B5_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,SHOWPORT_A22_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,GETHWID_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,BOOTCHAIN_0_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,PRINTBOOTCHAIN_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,GPIO_LIST_CTRL_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,PGOODSTATUS_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,GPIO_LIST_THERM_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,GPIO_LIST_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,SHOWVOLTAGES_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,RDTEMP_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,VRS_CHIPID_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,MVQ6223_SWITCH_ID_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,PHY_REVISION_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,MAX20040_EN_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,PHY_MVQ3244_MCU1B,,,
,N,V3NF_AV,MCU1B,I2CSCAN_0_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,UARTHS_MCU1A_CHECK,,,
,N,V3NF_AV,MCU1B,UARTHS_3B_CHECK_MCU1B,,,
,N,V3NF_AV,MCU1B,SPI_CHECK_MCU1B,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Y,V3NF_AV,MCU3,VERSION_CHECK_MCU3_UART,41,,
,Y,V3NF_AV,MCU3,FS04_CHECK_MCU3_UART,41,,
,Y,V3NF_AV,MCU3,I2C_HKII2C_CHECK_MCU3_UART,41,,
,Y,V3NF_AV,MCU3,I2C_SCAN1_CHECK_MCU3_UART,41,,
,Y,V3NF_AV,MCU3,SPI_REM_TEST_MCU3_UART,41,,
,Y,V3NF_AV,MCU3,PCIE_CHECK_MCU3_UART,41,,
,Y,V3NF_AV,MCU3,EOUT_CHECK_MCU3_UART,41,,
